LAU2_CODE,without_education,undetermined,lower_secondary_vocational_education,bachelors_degree,masters_degree,doctoral_degree,higher_vocational_education,primary_education,complete_secondary_vocational_education,complete_secondary_general_education,okres
SK0426521957,12.849872773536896,2.7989821882951653,20.356234096692113,2.4173027989821882,12.849872773536896,1.0178117048346056,5.407124681933841,12.977099236641221,23.727735368956743,5.597964376590331,Košice - okolie
SK0426521965,13.747454175152749,7.179226069246436,17.515274949083505,2.291242362525458,13.594704684317719,1.1710794297352343,4.378818737270875,16.751527494908352,19.093686354378818,4.276985743380855,Košice - okolie
SK0426521973,13.778801843317972,3.5023041474654377,21.382488479262673,1.9815668202764976,8.202764976958525,0.7373271889400922,4.6082949308755765,22.442396313364057,19.216589861751153,4.147465437788019,Košice - okolie
SK0426521981,12.72563176895307,1.9855595667870034,22.202166064981945,2.707581227436823,10.288808664259928,0.9927797833935018,4.422382671480144,21.931407942238266,19.675090252707584,3.068592057761733,Košice - okolie
SK0426522007,13.969106783075889,3.2907991940899928,23.50570852921424,1.8132975151108126,8.462055070517126,0.6044325050369375,4.701141705842847,20.147750167897918,19.87911349899261,3.6265950302216248,Košice - okolie
SK0426522015,13.807531380753138,3.7656903765690375,27.615062761506277,1.2552301255230125,8.368200836820083,0.41841004184100417,5.02092050209205,14.225941422594142,23.012552301255234,2.510460251046025,Košice - okolie
SK0426522023,9.913793103448276,2.155172413793103,26.508620689655174,1.5086206896551724,8.836206896551724,1.0775862068965518,7.327586206896552,14.008620689655174,23.060344827586206,5.6034482758620685,Košice - okolie
SK0426522031,12.88,2.16,17.439999999999998,2.48,14.96,0.8,3.7600000000000002,22.72,18.48,4.32,Košice - okolie
SK0426522040,15.06572295247725,4.550050556117291,18.705763397371083,1.1122345803842264,9.605662285136502,0.5055611729019212,4.3478260869565215,24.26693629929221,18.705763397371083,3.1344792719919106,Košice - okolie
SK0426522066,14.657210401891254,2.955082742316785,19.38534278959811,2.955082742316785,13.947990543735225,0.9456264775413712,5.4373522458628845,17.84869976359338,18.43971631205674,3.4278959810874703,Košice - okolie
SK0426522074,14.925373134328357,4.07055630936228,22.388059701492537,1.4925373134328357,4.613297150610583,0.13568521031207598,4.477611940298508,29.17232021709634,16.28222523744912,2.4423337856173677,Košice - okolie
SK0426522082,7.281553398058252,1.9417475728155338,13.106796116504853,5.339805825242718,19.902912621359224,2.912621359223301,5.339805825242718,13.592233009708737,27.184466019417478,3.3980582524271843,Košice - okolie
SK0426522091,10.596026490066226,1.6556291390728477,17.880794701986755,3.642384105960265,18.211920529801322,1.6556291390728477,3.3112582781456954,12.251655629139073,28.145695364238406,2.6490066225165565,Košice - okolie
SK0426522104,11.828687967369136,4.146838885112168,23.8613188307274,2.175390890550646,8.769544527532291,0.7477906186267845,4.622705642420122,16.247450713800138,23.45343303874915,4.146838885112169,Košice - okolie
SK0426522121,15.196599362380447,5.313496280552603,15.94048884165781,2.0191285866099893,19.872476089266737,2.0191285866099893,3.4006376195536663,17.428267800212538,16.365568544102018,2.4442082890541976,Košice - okolie
SK0426522139,14.055865921787708,4.4245810055865915,19.910614525139664,1.7877094972067038,10.837988826815643,0.8715083798882681,4.290502793296089,20.044692737430168,19.731843575418992,4.044692737430167,Košice - okolie
SK0426522147,25.95244183073383,6.05983124520583,13.909486064945028,0.3579647149066735,2.582459728969573,0.10227563283047815,2.7358731782152903,36.43569419585784,10.253132191255432,1.6108412170800306,Košice - okolie
SK0426522155,17.92452830188679,5.031446540880504,27.044025157232703,0.628930817610063,5.345911949685535,0.0,3.1446540880503147,22.955974842767297,14.779874213836479,3.1446540880503147,Košice - okolie
SK0426522163,24.45695897023331,4.022526146419952,11.987127916331458,0.4022526146419952,0.2413515687851971,0.0,0.7240547063555913,53.01689460981496,4.585679806918745,0.5631536604987932,Košice - okolie
SK0426522171,10.433070866141732,3.3464566929133857,24.212598425196852,2.559055118110236,10.62992125984252,0.984251968503937,5.118110236220472,16.338582677165356,21.25984251968504,5.118110236220472,Košice - okolie
SK0426522180,13.897280966767372,1.2084592145015107,19.335347432024168,2.719033232628399,17.220543806646525,0.906344410876133,3.6253776435045317,17.522658610271904,21.14803625377644,2.416918429003021,Košice - okolie
SK0426522198,11.598746081504702,0.9404388714733543,21.734587251828632,2.9258098223615465,11.389759665621735,0.522466039707419,5.6426332288401255,16.614420062695928,23.82445141065831,4.806687565308255,Košice - okolie
SK0426522201,14.285714285714285,1.21580547112462,24.012158054711247,1.21580547112462,9.118541033434651,0.303951367781155,5.167173252279635,18.84498480243161,22.796352583586625,3.0395136778115504,Košice - okolie
SK0426522210,7.446808510638298,2.127659574468085,24.04255319148936,3.829787234042553,12.553191489361701,1.276595744680851,4.680851063829787,14.46808510638298,24.893617021276597,4.680851063829787,Košice - okolie
SK0426522244,9.438775510204081,3.316326530612245,18.622448979591837,1.7857142857142856,15.816326530612246,1.0204081632653061,5.1020408163265305,14.540816326530614,24.74489795918367,5.612244897959184,Košice - okolie
SK0426522252,12.933025404157044,6.697459584295612,19.630484988452654,0.23094688221709006,3.233256351039261,0.6928406466512702,4.387990762124711,24.711316397228636,22.632794457274827,4.849884526558892,Košice - okolie
SK0426522261,13.665943600867678,4.7722342733188725,20.679681851048446,2.8199566160520604,9.761388286334057,1.0845986984815619,4.0491684743311644,18.004338394793926,21.0412147505423,4.121475054229935,Košice - okolie
SK0426559687,13.456464379947231,2.550571679859279,20.316622691292874,1.6710642040457344,9.586631486367635,0.8795074758135445,5.277044854881267,21.635883905013195,20.228671943711525,4.397537379067722,Košice - okolie
SK0426559784,16.27027027027027,10.513513513513514,16.0,0.7567567567567568,5.0540540540540535,0.16216216216216214,3.8378378378378377,29.45945945945946,14.243243243243244,3.702702702702703,Košice - okolie
SK0426559831,16.867469879518072,1.2048192771084338,22.088353413654616,0.8032128514056224,9.236947791164658,0.8032128514056224,5.220883534136546,17.670682730923694,22.08835341365462,4.016064257028112,Košice - okolie
SK0426559865,19.691403379867744,4.041146216017634,15.723732549595884,1.322556943423953,6.759735488611315,0.2939015429831006,3.3063923585598824,29.831006612784716,15.79720793534166,3.2329169728141074,Košice - okolie
SK0426559873,14.453125,4.4921875,21.09375,0.9765625,9.1796875,0.0,7.03125,16.015625,21.09375,5.6640625,Košice - okolie
SK0426559881,7.096774193548387,3.225806451612903,25.161290322580644,1.935483870967742,4.516129032258064,0.0,6.451612903225806,21.935483870967744,24.516129032258068,5.161290322580645,Košice - okolie
SK0426580252,10.96938775510204,3.316326530612245,25.0,1.2755102040816326,4.846938775510204,0.25510204081632654,4.591836734693877,30.867346938775512,14.795918367346939,4.081632653061225,Košice - okolie
SK0426582093,12.835249042145593,4.022988505747127,21.264367816091955,0.7662835249042145,8.812260536398467,0.38314176245210724,5.747126436781609,21.264367816091955,20.881226053639846,4.022988505747127,Košice - okolie
SK0426582514,10.104250200481154,3.2878909382518042,21.81234963913392,1.9246190858059342,12.910986367281478,0.8019246190858059,4.170008019246191,15.477145148356055,25.100240577385726,4.410585404971933,Košice - okolie
SK0426599310,6.796116504854369,5.825242718446601,29.126213592233007,1.9417475728155338,6.796116504854369,0.0,4.854368932038835,32.03883495145631,9.70873786407767,2.912621359223301,Košice - okolie
SK0427513857,20.79646017699115,4.867256637168142,19.469026548672566,1.3274336283185841,2.2123893805309733,0.8849557522123894,3.5398230088495577,25.221238938053094,17.25663716814159,4.424778761061947,Michalovce
SK0427522279,9.977114210985178,6.890257192676548,15.684938971229293,2.81985614646905,17.725588491717527,0.7601351351351352,4.598953792502179,12.6743679163034,22.376307759372278,6.492480383609417,Michalovce
SK0427522287,10.367170626349893,3.023758099352052,20.950323974082075,3.023758099352052,9.287257019438446,0.4319654427645789,3.67170626349892,23.110151187904968,21.382289416846653,4.751619870410368,Michalovce
SK0427522295,11.33428981348637,3.156384505021521,23.242467718794835,2.295552367288379,12.625538020086083,0.5738880918220948,3.586800573888092,13.486370157819225,25.39454806312769,4.304160688665711,Michalovce
SK0427522368,14.93018259935553,3.007518796992481,25.88614393125671,1.5037593984962405,5.370569280343716,0.10741138560687433,3.4371643394199785,23.200859291084853,19.226638023630507,3.329752953813104,Michalovce
SK0427522376,10.68090787716956,2.4699599465954605,23.9652870493992,2.202937249666222,7.610146862483311,0.6008010680907877,3.8718291054739655,19.759679572763684,23.36448598130841,5.473965287049399,Michalovce
SK0427522392,16.103896103896105,3.116883116883117,19.48051948051948,1.8181818181818181,13.766233766233766,0.0,4.935064935064935,16.363636363636363,18.7012987012987,5.714285714285714,Michalovce
SK0427522406,10.385756676557865,2.225519287833828,18.5459940652819,2.967359050445104,12.01780415430267,0.5934718100890208,3.8575667655786354,15.133531157270028,27.596439169139465,6.6765578635014835,Michalovce
SK0427522414,10.876132930513597,6.3444108761329305,25.52870090634441,1.6616314199395772,6.042296072507553,0.0,2.1148036253776437,26.132930513595166,16.61631419939577,4.682779456193353,Michalovce
SK0427522431,10.807113543091655,3.146374829001368,21.067031463748293,1.915184678522572,10.39671682626539,0.8207934336525308,3.419972640218878,20.656634746922023,23.529411764705884,4.240766073871409,Michalovce
SK0427522449,10.580912863070541,3.7344398340248963,18.04979253112033,2.904564315352697,18.46473029045643,0.2074688796680498,4.356846473029046,13.692946058091286,21.576763485477176,6.431535269709543,Michalovce
SK0427522465,10.344827586206897,3.0172413793103448,21.98275862068966,1.293103448275862,5.172413793103448,0.0,2.5862068965517238,28.448275862068964,21.551724137931036,5.603448275862069,Michalovce
SK0427522481,17.431192660550458,3.4403669724770642,21.3302752293578,2.293577981651376,5.848623853211009,0.34403669724770647,3.669724770642202,23.85321100917431,16.972477064220186,4.81651376146789,Michalovce
